timestamp,elapsed,x,y,raw_heading,filtered_heading,target_angle,angle_error,P,D,correction,left_speed,right_speed,distance_to_target
1761993965.749,0.000,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,-5.00,-32.82,32.8,-32.8,2.300
1761993965.770,0.021,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,0.00,-27.82,27.8,-27.8,2.300
1761993965.792,0.043,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,0.00,-27.82,27.8,-27.8,2.300
1761993965.814,0.065,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,0.00,-27.82,27.8,-27.8,2.300
1761993965.836,0.087,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,0.00,-27.82,27.8,-27.8,2.300
1761993965.858,0.109,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,0.00,-27.82,27.8,-27.8,2.300
1761993965.879,0.130,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,0.00,-27.82,27.8,-27.8,2.300
1761993965.901,0.152,4.300,2.010,325.39,325.39,269.75,-55.64,-27.82,0.00,-27.82,27.8,-27.8,2.300
1761993965.927,0.178,4.300,2.010,327.54,325.66,269.75,-55.90,-27.95,-0.52,-28.48,28.5,-28.5,2.300
1761993965.948,0.199,4.340,1.980,327.54,325.92,270.49,-55.43,-27.72,1.11,-26.61,26.6,-26.6,2.340
1761993965.969,0.221,4.340,1.980,327.54,326.19,270.49,-55.70,-27.85,-0.62,-28.47,28.5,-28.5,2.340
1761993965.991,0.242,4.340,1.980,327.54,326.46,270.49,-55.97,-27.99,-0.62,-28.60,28.6,-28.6,2.340
1761993966.012,0.264,4.340,1.980,331.24,327.19,270.49,-56.70,-28.35,-1.73,-30.08,30.1,-30.1,2.340
1761993966.033,0.285,4.340,1.980,331.24,327.93,270.49,-57.44,-28.72,-1.74,-30.46,30.5,-30.5,2.340
